
1382207125.511439,68
1382210730.719805,69
1382214335.039153,69
1382217939.335948,69
1382221544.297204,67
1382225148.821135,65
1382228760.657782,62
1382232365.023991,62
1382235969.505727,61
1382239573.90294,60
1382243178.210056,59
1382246782.589943,57
1382250386.920805,56
1382253991.19776,55
1382257595.697909,54
1382261200.167901,51
1382264804.706353,50
1382268408.956055,48
1382272013.239377,46
1382275617.617767,52
1382279222.345907,56
1382282826.715676,59
1382286431.371269,61
1382290035.867737,62
1382293640.607724,62
1382297245.19778,63
1382300849.543133,64
1382304454.008479,63
